commodity,year,Type,msprice,msp_filter,date,APMC,Commodity,arrivals_in_qtl,min_price,max_price,modal_price,district_name,Year,Month,trend,detrended_m,seasonal_m,residual_m,deseasonalised,raw_comparison,deseasonalised_comaprison
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Khultabad,maize,7511.0,900.0,967.0,933.0,Aurangabad,2014.0,12.0,914.0,1.0207877461706782,1.0762920897012591,0.9484300367328845,866.8650535738566,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Vaijapur,maize,4084.0,932.0,1098.0,1012.0,Aurangabad,2014.0,12.0,1068.5,0.9471221338324755,1.1132295543903383,0.8507878093042258,909.0667742415653,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Ambejogai,maize,4.0,1300.0,1300.0,1300.0,Beed,2014.0,12.0,1287.5,1.0097087378640777,1.0097087378640777,1.0,1287.5,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Kada,maize,61.0,1041.0,1162.0,1162.0,Beed,2014.0,12.0,1249.5,0.9299719887955182,0.9882547266530363,0.9410245797104289,1175.8102123481808,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Parli-Vaijnath,maize,3.0,1250.0,1250.0,1250.0,Beed,2014.0,12.0,1300.0,0.9615384615384616,0.9615384615384616,1.0,1300.0,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Kannad,maize,32198.0,839.0,975.0,923.0,Aurangabad,2014.0,12.0,946.0,0.9756871035940803,1.0385268554215203,0.9394914522437319,888.7589138225703,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Varud-Rajura Bazar,maize,4.0,1300.0,1375.0,1345.0,Amaravathi,2014.0,12.0,1332.5,1.0093808630393997,1.0761022238617248,0.9379971908403949,1249.8812567948262,Above_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Aurangabad,maize,18009.0,858.0,1071.0,965.0,Aurangabad,2014.0,12.0,976.5,0.9882232462877624,0.9882232462877624,1.0,976.5,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Fulambri,maize,98.0,870.0,950.0,899.0,Aurangabad,2014.0,12.0,943.0,0.953340402969247,1.0263352175055964,0.9288781937019019,875.9321366608935,Below_MSP,Below_MSP
maize,2014,Kharif Crops,1310.0,1,2014-12-01,Gangapur,maize,5544.0,846.0,997.0,910.0,Aurangabad,2014.0,12.0,1066.25,0.8534583821805393,0.9688671446698709,0.8808827782795177,939.2412623405357,Below_MSP,Below_MSP
